AÑO,METAL,UDM,ETAPA,PROCESO,ESTRATO,TITULAR,UNIDAD,REGIÓN,PROVINCIA,DISTRITO,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,PODEROSA Nº 6,La Libertad,Pataz,Pataz,0,0,0,0,17762.042,0,0,5085.6408,0,0,0,3197.296
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,ALTO 5,La Libertad,Sanchez Carrion,Sartimbamba,0,6298.5304,0,0,0,0,0,0,16250.3025,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,MARICUCHA,La Libertad,Pataz,Pataz,0,7624.5368,0,0,0,0,1203.768,0,8233.4866,4883.0311,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,PIEDAD PRIMERA,La Libertad,Pataz,Pataz,0,0,0,4541.4305,0,6635.904,0,0,0,0,0,9859.598
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,ISABEL 2003,La Libertad,Pataz,Pias,0,0,0,0,5224.13,0,6420.096,0,0,0,8822.772,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,MONTAÑITA,La Libertad,Pataz,Ongon,0,0,0,4850.066,0,6073.847,0,8899.9134,0,0,0,399.662
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,ALTO 3,La Libertad,Sanchez Carrion,Cochorco,0,14000.3068,0,0,0,0,0,0,1733.3656,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,DEFENSA Nº 15,La Libertad,Sanchez Carrion,Cochorco,0,0,12323.997,0,0,0,0,0,2816.7191,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,EL RECUPERADO 2001,La Libertad,Pataz,Pataz,0,828.754,0,394.907,0,0,0,0,0,0,0,13466.768
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,WILDER 2003,La Libertad,Pataz,Pias,0,0,0,0,3633.1452,0,9830.772,0,0,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,COSITA RICA,La Libertad,Pataz,Pataz,0,0,0,0,8679.1802,0,0,0,0,698.9661,1470.462,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,ALTO 2,La Libertad,Sanchez Carrion,Cochorco,989.8806,0,0,0,0,0,0,3640.006,4736.2224,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,PODEROSA Nº 7,La Libertad,Pataz,Pataz,0,0,0,789.814,0,3940.068,0,0,0,0,0,4569.082
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,PODEROSA Nº 6-A,La Libertad,Pataz,Pataz,0,0,0,1119.246,0,3351.0896,0,0,0,0,0,2397.9756
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,EL RECUPERADO,La Libertad,Pataz,Pataz,0,0,4317.435,0,0,0,0,1638.0027,0,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,DEFENSA Nº 5,La Libertad,Pataz,Pataz,0,1931.0768,0,0,0,0,0,0,650.0121,0,2474.3147,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,NUEVO HORIZONTE Nº 10,La Libertad,Pataz,Pias,0,4586.3074,0,0,0,0,0,127.4021,0,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,DEMASIA ILUSION 98,La Libertad,Pataz,Pias,205.69,0,0,197.4535,0,2488.464,0,182,0,0,0,1442.868
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,ESCUDO PODEROSA 3,La Libertad,Pataz,Pataz,0,0,0,1974.535,0,0,0,0,0,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,DEMASIA DEFENSA,La Libertad,Pataz,Pias,0,1448.3076,0,0,0,0,0,364.0006,0,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,PODEROSA Nº 6-A-98,La Libertad,Pataz,Pataz,0,0,0,0,0,1244.232,0,0,0,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,ESCUDO PODEROSA 2,La Libertad,Pataz,Pataz,0,0,0,0,1009.207,0,0,0,0,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,ROCIO 2003,La Libertad,Pataz,Pias,0,0,0,0,1009.207,0,0,0,0,0,0,0
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA PODEROSA S.A.,SAN BENITO P.B.,La Libertad,Pataz,Pataz,0,0,241.647,0,0,0,0,0,0,0,0,0
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA MINERA QUIRUVILCA S.A.,QUIRUVILCA,La Libertad,Santiago De Chuco,Quiruvilca,4618.63052,4360.02017,3412.8893,3243.17508,3438.41718,2940.14165,3567.53883,4141.02063,3487.89119,4028.70298,4631.42895,4088.12051
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA MINERA QUIRUVILCA S.A.,HUARON,Pasco,Pasco,Huayllay,3207.646,0,0,0,0,0,0,0,0,0,0,0
2012,Oro,g FINOS,Concentración,Flotación,Régimen General,COMPAÑIA MINERA SAN NICOLAS S.A.,COLORADA,Cajamarca,Hualgayoc,Hualgayoc,1581.9906,1086.24321,4063.64,2121.1463,3276.5808,2227.9782,1666.296,2079.656,2088.84,3469.016,3082.92,3170.584
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA SAN NICOLAS S.A.,COLORADA,Cajamarca,Hualgayoc,Hualgayoc,615.30315,242.649156,0,0,0,0,0,0,0,0,0,0
