Oficina de Control Migratorio,País,Año,Mes,Valor
Otras Oficinas Migratorias,CHAD,2021,12,0
Otras Oficinas Migratorias,COMORAS (ISL),2021,12,0
Otras Oficinas Migratorias,CONGO,2021,12,0
Otras Oficinas Migratorias,COSTA MARFIL,2021,12,0
Otras Oficinas Migratorias,DEMOC.REP. CONGO (ZAIRE),2021,12,0
Otras Oficinas Migratorias,DJIBOUTI,2021,12,0
Otras Oficinas Migratorias,ERITREA,2021,12,0
Otras Oficinas Migratorias,ETIOPIA,2021,12,0
Otras Oficinas Migratorias,GABON,2021,12,0
Otras Oficinas Migratorias,GAMBIA,2021,12,0
Otras Oficinas Migratorias,GUINEA,2021,12,0
Otras Oficinas Migratorias,GUINEA BISSAU,2021,12,0
Otras Oficinas Migratorias,GUINEA ECUATORIAL,2021,12,0
Otras Oficinas Migratorias,KENIA,2021,12,0
Otras Oficinas Migratorias,LESOTHO,2021,12,0
Otras Oficinas Migratorias,LIBERIA,2021,12,0
Otras Oficinas Migratorias,LIBIA,2021,12,0
Otras Oficinas Migratorias,MADAGASCAR,2021,12,0
Otras Oficinas Migratorias,MALAWI,2021,12,0
Otras Oficinas Migratorias,MALI,2021,12,0
Otras Oficinas Migratorias,MAURICIO,2021,12,0
Otras Oficinas Migratorias,MAURITANIA,2021,12,0
Otras Oficinas Migratorias,MOZAMBIQUE,2021,12,0
Otras Oficinas Migratorias,NAMIBIA,2021,12,0
Otras Oficinas Migratorias,NIGER,2021,12,0
Otras Oficinas Migratorias,NIGERIA,2021,12,0
Otras Oficinas Migratorias,REP.CENTROAFRICANA,2021,12,0
Otras Oficinas Migratorias,RWANDA,2021,12,0
Otras Oficinas Migratorias,SENEGAL,2021,12,0
Otras Oficinas Migratorias,SEYCHELLES,2021,12,0
Otras Oficinas Migratorias,SIERRA LEONA,2021,12,0
Otras Oficinas Migratorias,SOMALIA,2021,12,0
Otras Oficinas Migratorias,STO. TOME Y PRINCIPE,2021,12,0
Otras Oficinas Migratorias,SUDAN,2021,12,0
Otras Oficinas Migratorias,SWAZILANDIA,2021,12,0
Otras Oficinas Migratorias,TANZANIA,2021,12,0
Otras Oficinas Migratorias,TOGO,2021,12,0
Otras Oficinas Migratorias,TUNEZ,2021,12,0
Otras Oficinas Migratorias,UGANDA,2021,12,0
Otras Oficinas Migratorias,ZAMBIA,2021,12,0
Otras Oficinas Migratorias,ZIMBABWE,2021,12,0
Otras Oficinas Migratorias,SUDAFRICA,2021,12,0
Otras Oficinas Migratorias,GHANA,2021,1,0
Otras Oficinas Migratorias,MARRUECOS,2021,1,0
Otras Oficinas Migratorias,EGIPTO,2021,1,0
Otras Oficinas Migratorias,ANGOLA,2021,1,0
Otras Oficinas Migratorias,ARGELIA,2021,1,0
Otras Oficinas Migratorias,BENIN,2021,1,0
Otras Oficinas Migratorias,BOTSWANA,2021,1,0
Otras Oficinas Migratorias,BURKINA FASO,2021,1,0
Otras Oficinas Migratorias,BURUNDI,2021,1,0
Otras Oficinas Migratorias,CABO VERDE,2021,1,0
